epoch,train_loss,val_loss
1.0,0.3781654011225072,0.4369616229880559
2.0,0.36705465684740235,0.4386463236349778
3.0,0.36272455614301974,0.42872999815708823
4.0,0.3567782039682864,0.4270317761414527
5.0,0.34627294793254876,0.41615221660142837
6.0,0.3307546665013401,0.3944099146141486
7.0,0.31529354401218096,0.40458401643261593
8.0,0.30408641396006897,0.3839931742414466
9.0,0.2902800987408152,0.3777069922664797
10.0,0.2834508955748377,0.37635690061011146
11.0,0.27446148402275766,0.3815549702466561
12.0,0.26697402898124767,0.4073696754930779
13.0,0.25705705325962336,0.37715577798030986
14.0,0.2483797231265692,0.3728623841843069
15.0,0.24333383953196477,0.4058127072515624
16.0,0.23759375096571075,0.38034178555266956
17.0,0.22483867116828526,0.3757732785300031
18.0,0.21842255640491903,0.3697835322247448
19.0,0.21061782528715933,0.37846541427916225
20.0,0.20314070570205328,0.3719028676123784
21.0,0.19208702194211363,0.37654581787634867
22.0,0.18865297642697856,0.4019828873950809
23.0,0.181129956325912,0.38724981467725783
24.0,0.17415231481079738,0.3752430881676787
25.0,0.16417411673029655,0.3852111937863963
26.0,0.1575644637107041,0.39603709682915833
27.0,0.15102255712062493,0.3827694068272591
28.0,0.140906578401171,0.38916098727905574
29.0,0.13815210522808744,0.3996689404760088
30.0,0.12928144223611257,0.39465422427840174
